year,month,day,hour,min,sec,ms,anchor,distance,dirX,dirY,dirZ
2021,12,30,01,26,44,4730,ANCHOR_6, nil, nil, nil, nil
2021,12,30,01,26,44,6520,ANCHOR_6, nil, nil, nil, nil
2021,12,30,01,26,44,8520,ANCHOR_6, 1.7331002, nil, nil, nil
2021,12,30,01,26,45,0520,ANCHOR_6, 1.4240142, nil, nil, nil
2021,12,30,01,26,45,2520,ANCHOR_6, 1.564317, nil, nil, nil
2021,12,30,01,26,45,4520,ANCHOR_6, 1.6299716, nil, nil, nil
2021,12,30,01,26,45,6520,ANCHOR_6, 1.428511, nil, nil, nil
2021,12,30,01,26,45,6520,ANCHOR_8, nil, nil, nil, nil
2021,12,30,01,26,45,8520,ANCHOR_6, 1.4051273, nil, nil, nil
2021,12,30,01,26,45,8520,ANCHOR_8, nil, nil, nil, nil
2021,12,30,01,26,46,0520,ANCHOR_6, 1.5316397, nil, nil, nil
2021,12,30,01,26,46,0520,ANCHOR_8, nil, nil, nil, nil
2021,12,30,01,26,46,2520,ANCHOR_6, 1.4566915, -0.77372193, 0.12511285, -0.62104845
2021,12,30,01,26,46,2520,ANCHOR_8, nil, nil, nil, nil
2021,12,30,01,26,46,4520,ANCHOR_6, 1.4426013, -0.77372193, 0.12511285, -0.62104845
2021,12,30,01,26,46,4520,ANCHOR_8, nil, nil, nil, nil
2021,12,30,01,26,46,6520,ANCHOR_6, 1.4240142, -0.8000759, 0.12797995, -0.5860884
2021,12,30,01,26,46,6520,ANCHOR_8, nil, nil, nil, nil
2021,12,30,01,26,46,8520,ANCHOR_6, 1.4614882, -0.7994775, 0.15877925, -0.5793314
2021,12,30,01,26,46,8520,ANCHOR_8, 5.030817, nil, nil, nil
2021,12,30,01,26,47,0520,ANCHOR_6, 1.4051273, -0.8068076, 0.15158904, -0.57103616
2021,12,30,01,26,47,0520,ANCHOR_8, 4.979253, nil, nil, nil
2021,12,30,01,26,47,2520,ANCHOR_6, 1.4941657, -0.8068076, 0.15158904, -0.57103616
2021,12,30,01,26,47,2520,ANCHOR_8, 4.951072, nil, nil, nil
2021,12,30,01,26,47,4520,ANCHOR_6, 1.4051273, -0.81389326, 0.09679239, -0.5728953
